SNo.,state_name,district_name,Total No. of JobCards issued,Total No. of Workers,Total No. of Active Job Cards,Total No. of Active Workers,Approved Labour Budget,Persondays of Central Liability so far,Women Persondays,Average days of employment provided per Household,Average Wage rate per day per person(Rs.),Total No of HHs completed 100 Days of Wage Employment,Total Households Worked,Total Individuals Worked,Differently abled persons worked,Number of GPs with NIL exp,Total No. of Works Takenup (New+Spill Over),Number of Ongoing Works,Number of Completed Works,Total Exp(Rs. in Lakhs.),Wages(Rs. In Lakhs),Material and skilled Wages(Rs. In Lakhs),Total Adm Expenditure (Rs. in Lakhs.)
441,MIZORAM,KOLASIB,21029,21811,20954,21729,1632878,1014839,617573,48,304.1389097,0,20941,21276,2,0,1258,478,780,3424.475104,3086.52027,267.921334,70.0335
442,MIZORAM,LAWNGTLAI,38088,39912,37299,37975,3009644,1200760,594765,32,303.6034362,0,37301,37509,1,0,2029,852,1177,4987.691693,3645.54862,1202.690073,139.453
443,MIZORAM,LUNGLEI,34025,34503,33648,34124,2760952,1537757,611235,46,285.424333,0,33210,33435,10,0,1965,1520,445,5216.199134,4389.13266,716.5247144,110.54176
444,MIZORAM,MAMIT,22473,23820,22384,23730,1829148,1033609,479628,45,313.2226142,0,22518,22672,3,0,1858,664,1194,4528.957257,3237.49713,1187.469127,103.991
445,MIZORAM,SAIHA,18226,21026,18140,20938,1465450,681385,353303,37,328.3641289,0,18105,18768,35,0,1612,582,1030,2655.511861,2237.42392,321.0519408,97.036
446,MIZORAM,SAITUAL,8039,8061,8024,8046,985130,266082,119610,33,295.1423696,0,8012,8065,39,0,282,149,133,1017.19439,785.32072,183.16867,48.705
447,MIZORAM,SERCHHIP,15932,22352,15888,22306,1350268,632328,341841,39,319.1008179,0,15918,16066,20,0,843,672,171,2284.043199,2017.76382,191.536289,74.74309
448,NAGALAND,DIMAPUR,75915,149935,74024,146873,2306060,2301395,1075557,36,240.0450757,0,62730,72917,128,1,2134,1940,194,7283.042142,5524.38537,1710.384772,48.272
449,NAGALAND,KIPHIRE,25806,40008,24765,38865,840480,799000,374445,36,230.9534894,0,22141,24370,11,1,860,851,9,2009.132288,1845.31838,152.6439081,11.17
450,NAGALAND,KOHIMA,53650,83519,52838,82439,1764117,1769667,785471,40,240.6364762,5,44216,50970,7,4,939,881,58,5903.487161,4258.46431,1604.124751,40.8981
451,NAGALAND,LONGLENG,21700,41679,21492,41303,691578,691578,279190,34,270.6477881,0,20105,22167,5,2,427,419,8,3420.978694,1871.74056,1528.072134,21.166
