SNo.,state_name,district_name,Total No. of JobCards issued,Total No. of Workers,Total No. of Active Job Cards,Total No. of Active Workers,Approved Labour Budget,Persondays of Central Liability so far,Women Persondays,Average days of employment provided per Household,Average Wage rate per day per person(Rs.),Total No of HHs completed 100 Days of Wage Employment,Total Households Worked,Total Individuals Worked,Differently abled persons worked,Number of GPs with NIL exp,Total No. of Works Takenup (New+Spill Over),Number of Ongoing Works,Number of Completed Works,Total Exp(Rs. in Lakhs.),Wages(Rs. In Lakhs),Material and skilled Wages(Rs. In Lakhs),Total Adm Expenditure (Rs. in Lakhs.)
1,ANDAMAN AND NICOBAR,NICOBARS,6173,9866,1007,2011,34000,5046,1536,28,108.4042806,0,180,201,0,9,172,172,0,5.47008,5.47008,0,0
2,ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN,18521,29500,6477,11920,76000,30487,18949,22,533.7859087,9,1348,1592,5,0,532,458,74,167.9665017,162.73531,5.2311917,0
3,ANDAMAN AND NICOBAR,SOUTH ANDAMAN,13726,17491,3420,5016,40000,4522,3254,8,1661.345865,0,508,545,1,3,401,174,227,79.20082,75.12606,1.37476,2.7
4,ANDHRA PRADESH,SRIKAKULAM,445787,743762,384349,680409,16700000,15568613,10970657,48,252.668258,9020,322730,472005,6785,4,65095,47441,17654,50704.06827,39336.94327,10037.24663,1329.87838
5,ANDHRA PRADESH,VIZIANAGARAM,388651,694622,350587,648430,16800000,15501082,10691627,50,241.337534,1938,306284,468189,7667,1,62481,49931,12550,48338.74775,37409.92904,9966.570016,962.2487
6,ANDHRA PRADESH,VISAKHAPATANAM,39211,58514,32447,51975,1400000,1220411,884231,46,257.1238881,407,25980,36667,211,6,5992,4912,1080,4033.530908,3137.968213,651.2459846,244.31671
7,ANDHRA PRADESH,EAST GODAVARI,187579,284271,123935,202387,4800000,3704465,2040186,42,235.6403451,864,87616,117601,1890,0,29651,25294,4357,13340.33911,8729.214109,4301.666551,309.45845
8,ANDHRA PRADESH,WEST GODAVARI,178641,284350,125121,218198,3400000,3124054,1767710,34,239.0933496,477,91073,134626,1297,3,36170,30843,5327,11250.73005,7469.405352,3511.37866,269.94604
9,ANDHRA PRADESH,KRISHNA,220268,379780,170492,317990,6900000,6330742,3377645,42,253.0840774,7567,147795,254066,2414,0,63586,53533,10053,21586.41516,16022.09998,4933.682752,630.63243
10,ANDHRA PRADESH,GUNTUR,134904,218949,85047,150682,2900000,2695339,1543985,39,244.1571507,1843,68081,112014,805,23,24785,21535,3250,9102.121961,6580.862905,2176.509426,344.74963
11,ANDHRA PRADESH,PRAKASAM,456805,831178,392018,752056,15000000,14195476,7989493,47,224.2594498,6223,300700,525993,4453,9,48916,43149,5767,44477.72011,31834.69637,11398.09676,1244.92698
12,ANDHRA PRADESH,NELLORE,352016,587920,263013,462273,9500000,9203417,5705072,44,258.5343037,7477,205411,302701,2267,4,58230,48011,10219,38395.69359,23793.99006,13734.45603,867.2475
13,ANDHRA PRADESH,CHITTOOR,266398,474363,207297,385619,7000000,5881852,3582940,45,253.9152479,4455,130100,202219,2346,2,75160,58182,16978,22598.82456,14934.91909,6882.526697,781.37878
14,ANDHRA PRADESH,Y.S.R,265245,472373,198061,371530,7100000,6579138,4250267,47,242.390117,4814,138021,219783,2232,3,56005,47840,8165,25813.05602,15947.1803,8867.630471,998.24525
15,ANDHRA PRADESH,ANANTAPUR,323800,582624,259160,487015,9500000,8710993,4868045,49,238.5444322,4059,176555,304566,3673,0,55267,45930,9337,31932.18643,20779.58879,10083.89815,1068.69949
16,ANDHRA PRADESH,KURNOOL,335662,621141,256394,508772,8100000,7471835,4104371,41,267.8292994,2288,180221,316375,2746,5,47694,38804,8890,27963.49582,20011.76333,7110.858378,840.87411
17,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,238959,461108,221625,440689,10700000,9887718,5143752,52,253.535208,14162,188490,336435,3527,2,69937,60750,9187,39258.17076,25068.84639,13489.17105,700.15332
18,ANDHRA PRADESH,ANAKAPALLI,296188,456236,240744,395890,10800000,9875203,6797817,50,267.1586388,2926,195705,285372,3748,6,37021,31030,5991,32575.97821,26382.45791,5690.110151,503.41015
19,ANDHRA PRADESH,KONASEEMA,226438,346509,151887,251506,5000000,4620903,2918652,38,267.1018619,1223,119151,169503,2742,2,32219,25935,6284,17256.2102,12342.51795,4521.214233,392.47802
20,ANDHRA PRADESH,ELURU,385524,679955,323493,596941,12000000,11259711,6498157,44,248.5597158,2716,254777,417475,3453,3,57475,51114,6361,37406.33875,27987.10567,8913.706125,505.52696
21,ANDHRA PRADESH,NTR,206605,363339,167654,310341,7700000,6971290,4064797,48,252.3709198,2903,143689,244083,2457,2,37532,33893,3639,23384.1186,17593.50869,5524.792158,265.81775
22,ANDHRA PRADESH,BAPATLA,262811,456258,205856,383248,7200000,6588983,3544945,40,245.3067328,5762,163994,284545,2148,1,49977,42571,7406,20820.11065,16163.21892,4246.807684,410.08405
23,ANDHRA PRADESH,PALNADU,329605,556195,252902,460073,7900000,7452661,3994313,38,242.5270559,4699,191525,328503,2332,13,34784,31406,3378,24503.46999,18074.71931,5966.894873,461.85581
24,ANDHRA PRADESH,NANDYAL,295010,539558,213947,418418,6700000,6137259,3706908,39,241.8015099,1696,155038,263747,2054,3,47430,42709,4721,20030.22535,14839.98493,4607.414413,582.82601
25,ANDHRA PRADESH,SRI SATHYA SAI,289486,514790,221833,422089,6400000,5912285,3239909,46,224.303383,6345,127124,216786,2893,0,47873,40179,7694,19946.80627,13261.45527,6001.257231,684.09377
26,ANDHRA PRADESH,ANNAMAYYA,265316,434366,207372,360390,7700000,7245164,4262463,50,245.9095338,4714,143238,215691,1849,3,66035,51040,14995,24746.47668,17816.54902,6336.398176,593.52949
27,ANDHRA PRADESH,TIRUPATI,281398,479611,226901,407097,8300000,8111117,5164707,49,261.7776819,13452,165444,250174,2617,16,44487,38054,6433,26721.24155,21233.09406,4865.056323,623.09117
28,ANDHRA PRADESH,PARVATHIPURAM MANYAM,214445,402688,192748,378124,9500000,8689240,5109136,52,242.4063426,7040,166212,283155,4021,1,51804,42668,9136,26437.10562,21063.26888,4871.476553,502.36019
29,ANDHRA PRADESH,KAKINADA,283299,455915,205451,350229,6000000,5528959,2838441,37,244.5974224,869,146034,208423,3290,4,33835,27405,6430,18190.50398,13523.6912,4254.484036,412.32874
30,ARUNACHAL PRADESH,ANJAW,9059,11228,8580,10703,440167,87148,46135,17,508.9395855,0,5043,5063,0,4,201,201,0,626.352617,443.53067,179.075947,3.746
31,ARUNACHAL PRADESH,CHANGLANG,16238,32087,14765,30175,781206,9743,3979,16,908.6749461,0,603,603,0,49,543,511,32,359.1692375,88.5322,260.3270375,10.31
32,ARUNACHAL PRADESH,EAST KAMENG,32025,32602,29472,30039,1570910,75604,38249,18,312.2765859,0,4159,4161,5,8,416,392,24,1438.185642,236.09359,1182.972052,19.12
33,ARUNACHAL PRADESH,EAST SIANG,9225,16327,8184,14920,329560,9157,4747,13,483.3050126,0,688,688,0,85,163,162,1,72.0122454,44.25624,23.9160054,3.84
34,ARUNACHAL PRADESH,KAMLE,11982,13763,9474,11002,558858,36934,19442,16,343.7552391,0,2244,2245,5,33,144,144,0,135.72256,126.96256,0.96,7.8
35,ARUNACHAL PRADESH,KRA-DAADI,22651,28106,21268,26463,1124666,264432,138247,18,189.6922763,12,14455,14994,6,4,460,331,129,1257.04819,501.60708,739.10211,16.339
36,ARUNACHAL PRADESH,KURUNG KUMEY,21147,32123,20376,30974,1009167,741343,383019,38,189.6689184,20,19351,19464,18,0,422,422,0,1921.873314,1406.09725,492.0510636,23.725
37,ARUNACHAL PRADESH,LEPARADA,4551,9500,4236,9136,213650,5665,2495,6,299.7846425,0,938,1016,0,24,137,137,0,21.0808,16.9828,0.72,3.378
38,ARUNACHAL PRADESH,LOHIT,5583,7947,5397,7718,267848,2660,979,34,360.4045113,0,78,78,0,2,307,107,200,196.9341902,9.58676,181.5794302,5.768
39,ARUNACHAL PRADESH,LONGDING,6465,20319,6050,19440,798297,146434,54060,34,224.0284633,0,4221,6388,0,4,66,55,11,413.2557306,328.05384,75.92189057,9.28
40,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,10787,21054,10464,20665,505639,131799,59317,13,295.7860985,0,9458,9479,5,0,400,394,6,479.109769,389.84312,84.08995904,5.17669
41,ARUNACHAL PRADESH,LOWER SIANG,5169,13218,4960,12801,254672,46523,21871,16,619.6779227,1,2820,3153,1,9,381,381,0,392.2657568,288.29276,100.0129968,3.96
42,ARUNACHAL PRADESH,LOWER SUBANSIRI,17441,31733,13025,23988,592570,78326,39298,16,298.2800603,0,4845,5162,15,108,380,379,1,304.1042498,233.63084,48.0284098,22.445
43,ARUNACHAL PRADESH,NAMSAI,16936,30456,16615,29958,850987,326489,97477,23,278.7507573,0,14088,14122,294,12,877,751,126,1124.08808,910.09056,209.82752,4.17
44,ARUNACHAL PRADESH,PAKKE KESSANG,6823,7182,6452,6808,336046,69930,38170,30,253.004719,0,2275,2275,2,2,90,90,0,282.80018,176.9262,103.19398,2.68
45,ARUNACHAL PRADESH,PAPUM PARE,24998,32303,24729,32005,1240061,498189,265343,31,193.2519747,0,15637,15750,4,3,563,563,0,1244.146739,962.76008,263.9981592,17.3885
46,ARUNACHAL PRADESH,SHI YOMI,3260,8194,2972,7633,153328,6084,2365,13,225.56476,0,448,510,0,27,82,77,5,16.00336,13.72336,0,2.28
47,ARUNACHAL PRADESH,SIANG,8984,14370,7416,12591,378662,73779,25303,37,281.0279131,0,1944,2265,0,23,254,253,1,278.8335248,207.339584,59.2639408,12.23
48,ARUNACHAL PRADESH,TAWANG,9333,15938,8904,15325,456175,240340,139695,29,238.2107173,0,8076,8120,11,4,365,346,19,693.4536375,572.515638,111.1579995,9.78
49,ARUNACHAL PRADESH,TIRAP,15328,40982,14387,38933,540946,220406,72379,23,229.6288123,9,9277,10093,0,1,779,703,76,909.7729105,506.11568,393.3812305,10.276
50,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2682,2790,2631,2724,133252,88899,49198,36,29.77563302,0,2461,2487,4,9,117,116,1,92.9969052,26.47024,66.5266652,0
51,ARUNACHAL PRADESH,UPPER SIANG,7817,8935,7366,8346,351741,4095,1889,12,1131.434432,0,338,338,0,15,226,225,1,171.522512,46.33224,116.090272,9.1
52,ARUNACHAL PRADESH,UPPER SUBANSIRI,30698,30808,29377,29487,1224771,463975,226940,22,380.7212458,0,20615,20635,219,4,756,732,24,2460.218923,1766.4514,648.9730228,44.7945
53,ARUNACHAL PRADESH,WEST KAMENG,11529,16534,10792,15671,583717,56120,20034,15,238.5533856,0,3597,3600,2,65,286,276,10,331.2526865,133.87616,193.8740265,3.5025
54,ARUNACHAL PRADESH,WEST SIANG,7354,19144,6416,17266,303104,102796,37212,21,246.568884,0,4725,5509,5,14,245,245,0,309.557224,253.46295,48.174274,7.92
55,ASSAM,DHUBRI,393651,754962,233583,503032,987395,3538408,1626607,44,245.1126448,109,78750,147963,185,0,62634,42340,20294,9979.702648,8673.085432,1306.617216,0
56,ASSAM,KOKRAJHAR,255522,545132,148413,332724,2727919,2662110,1384868,35,242.5290077,99,75739,120178,142,0,50259,40583,9676,7130.518407,6456.388966,674.1294411,0
57,ASSAM,BONGAIGAON,161325,356210,96350,232393,625009,1680218,783900,37,247.088083,50,45270,79238,77,0,48569,34017,14552,4151.618446,4151.618446,0,0
58,ASSAM,GOALPARA,225260,443100,125785,292240,1362564,1711690,880246,34,247.7490071,65,49156,80491,113,0,46279,30629,15650,4373.007097,4240.69498,132.3121174,0
59,ASSAM,BARPETA,311121,541893,192582,363767,1121949,2656526,1204121,36,245.6632507,97,73108,114854,822,0,70578,44121,26457,7551.282758,6526.108128,1025.17463,0
60,ASSAM,NALBARI,207842,352567,128915,241526,1218316,1949082,966896,30,247.3088894,55,63007,95235,43,0,35916,29579,6337,5038.786192,4820.253048,218.5331438,0
61,ASSAM,KAMRUP,369857,697819,182206,381059,2514470,2153786,1074119,32,252.3945117,53,67010,101593,96,0,57589,30886,26703,5531.479921,5436.037657,95.44226376,0
62,ASSAM,DARRANG,234818,454564,149576,326994,1049871,2317467,1119461,35,255.0073378,105,65348,115394,98,0,45702,19772,25930,6717.771076,5909.7109,808.0601757,0
63,ASSAM,SONITPUR,258910,330385,155339,211537,2686342,1568903,826990,25,241.2480575,12,61553,71086,27,0,33920,27468,6452,3945.626587,3784.948012,160.6785753,0
64,ASSAM,LAKHIMPUR,253112,501261,157067,358037,2650863,1870433,974401,28,242.0533449,111,66538,112891,96,0,41604,31949,9655,4893.442598,4527.44564,365.9969578,0
65,ASSAM,DHEMAJI,206347,449716,131667,321536,2756594,2108143,1166810,33,234.4790899,171,63334,106158,113,0,34229,32055,2174,6154.834259,4943.15452,1211.679739,0
66,ASSAM,Morigaon,245635,433099,161058,313821,1752275,1705566,843572,33,243.616914,5,50257,79393,48,0,59213,44444,14769,5310.751891,4155.047256,1155.704635,0
67,ASSAM,NAGAON,414654,613794,241317,399010,2644527,2798487,1367704,26,242.1661727,50,104537,142025,330,0,69072,46844,22228,7105.740236,6776.988862,328.7513744,0
68,ASSAM,GOLAGHAT,223112,425007,145206,298517,2345516,1538556,784892,31,242.8871442,102,48791,76772,93,0,37438,30362,7076,3888.90691,3736.95473,151.9521795,0
69,ASSAM,JORHAT,170244,243772,91215,144297,2005458,928600,510819,23,243.8325152,55,39259,47625,46,0,18775,12124,6651,2264.228736,2264.228736,0,0
70,ASSAM,SIVASAGAR,136676,245699,84730,171398,1837677,1071569,560523,26,251.001998,43,39934,58054,130,0,18522,13350,5172,2765.2491,2689.6596,75.58949962,0
71,ASSAM,DIBRUGARH,220684,368226,155255,285504,2268007,1180163,627846,24,238.9778675,89,48563,69122,95,0,25215,14490,10725,2864.971722,2820.32837,44.64335205,0
72,ASSAM,TINSUKIA,225259,318300,123500,198629,2735152,1025393,551569,25,245.5591768,26,39905,50309,35,0,20033,14427,5606,2566.92405,2517.94661,48.97743968,0
73,ASSAM,KARBI ANGLONG,149658,262911,93825,181036,1179555,886890,508062,29,239.0399211,28,29715,39996,38,1,22133,19227,2906,2322.116664,2120.021156,202.095508,0
74,ASSAM,Dima Hasao,39096,85362,25638,59564,329975,210479,86236,31,241.4535892,10,6756,9026,2,0,6161,5182,979,549.8260837,508.2091,41.61698373,0
75,ASSAM,KARIMGANJ,305409,389677,175843,245605,2562225,1769034,737209,27,233.9721742,226,65125,78255,55,0,45950,41756,4194,4169.07166,4139.047312,30.02434791,0
76,ASSAM,HAILAKANDI,165527,263618,119076,207434,2062528,1302469,481556,26,269.153288,22,48863,65310,85,0,25448,19727,5721,4297.249911,3505.638139,791.6117726,0
77,ASSAM,CACHAR,383829,469006,203039,261563,3179033,1505302,573065,29,240.6752899,5,50307,55921,37,0,57920,52681,5239,3632.712051,3622.889952,9.822098673,0
78,ASSAM,BAKSA,180050,289669,98574,171481,1683345,1248964,705540,27,236.3068162,17,45359,59328,117,0,34895,28618,6277,3288.491549,2951.387064,337.1044854,0
79,ASSAM,CHIRANG,138968,289247,90057,199127,1465260,1111631,579967,33,238.9690115,15,33539,52587,20,0,29563,26027,3536,2999.497644,2656.453612,343.0440324,0
80,ASSAM,KAMRUP (METRO),51646,96497,16487,35509,1018783,221837,123710,36,244.0091247,3,6127,9114,3,0,6419,4354,2065,544.8094508,541.302522,3.5069288,0
81,ASSAM,UDALGURI,237407,431433,142164,280721,2795158,1840327,977414,31,243.9059815,44,58068,82992,51,0,49364,38972,10392,4978.292963,4488.667632,489.625331,0
82,ASSAM,Biswanath,180052,289904,117067,209207,2809846,1554156,850875,28,244.5059549,87,53807,78667,304,0,27821,21547,6274,4011.570428,3800.003968,211.56646,0
83,ASSAM,HOJAI,173583,283449,98754,174488,1246798,1182935,559192,30,242.4220413,32,38757,56379,302,0,29431,25720,3711,3221.381344,2867.695174,353.6861702,0
84,ASSAM,CHARAIDEO,87865,144843,48549,90117,958718,521315,273797,28,244.4021599,284,18301,25339,31,0,7763,4215,3548,1282.488468,1274.10512,8.383347693,0
85,ASSAM,SOUTH SALMARA-MANKACHAR,145693,176823,80294,102009,525259,1274238,648188,24,254.6440429,65,52689,62511,222,0,30048,26344,3704,3332.260059,3244.77116,87.48889875,0
86,ASSAM,MAJULI,36025,58948,29042,50601,701497,387849,184580,24,262.8207885,33,15576,23842,22,0,8063,6569,1494,1020.270751,1019.3478,0.922951374,0
87,ASSAM,BAJALI,70938,142867,44201,98090,385668,641272,302978,34,239.6953366,10,18462,32252,122,0,18894,13405,5489,2096.162729,1537.099079,559.0636502,0
88,ASSAM,WEST KARBI ANGLONG,63268,111414,31804,59771,578513,191472,107124,26,230.0338849,3,7340,10006,5,0,7020,5840,1180,442.734235,440.45048,2.283755,0
89,ASSAM,TAMULPUR,123470,215958,65849,132251,1227935,635953,344440,23,240.0479844,3,27484,40518,8,0,21480,19161,2319,1783.732823,1526.592358,257.1404652,0
90,BIHAR,PATNA,418863,497937,237590,279214,4140700,3097555,1526711,34,247.475311,84,90247,95958,156,5,30152,23858,6294,11010.95894,7665.683871,3259.633699,85.64137
91,BIHAR,NALANDA,468962,618727,226864,286633,6061100,4952659,2546774,41,239.4657006,664,117975,130889,234,0,25665,17362,8303,16718.76564,11859.91958,4755.687386,103.15868
92,BIHAR,BHOJPUR,462313,612559,168344,198556,3518980,2103699,890320,32,242.257485,169,65186,72181,60,2,30631,20274,10357,7624.727702,5096.36829,2461.155352,67.20406
93,BIHAR,ROHTAS,397318,502635,220284,290628,3976700,2745906,1113980,31,235.8238411,197,88214,97932,130,4,29910,18458,11452,10634.00378,6475.501003,4072.583316,85.91946
94,BIHAR,AURANAGABAD,533141,705500,256601,348336,6251700,4130668,1990556,35,239.7205878,533,116203,129406,151,2,29141,18726,10415,13856.26735,9902.061609,3859.010835,95.19491
95,BIHAR,JEHANABAD,140219,195417,89576,124335,2281500,2003349,1046387,39,236.7305252,529,51142,63948,129,2,10693,6280,4413,6473.920538,4742.53861,1687.842858,43.53907
96,BIHAR,GAYA,913992,1116440,425158,485297,10575500,5868012,3344006,31,245.9704802,130,187596,195743,262,7,114620,72467,42153,23826.5835,14433.5773,9297.275504,95.7307
97,BIHAR,NAWADA,452378,502873,237951,260211,6910500,4169242,2387745,34,237.1332434,153,120791,124720,366,2,55221,31728,23493,13633.62509,9886.65878,3691.033695,55.93261
98,BIHAR,SARAN,807510,831959,282446,288874,6452301,3642229,1950723,34,245.738717,173,104352,105007,85,10,37145,25888,11257,13840.90525,8950.366815,4725.510006,165.02843
99,BIHAR,SIWAN,424123,489434,163112,186573,3582501,2693818,1355408,35,241.4915645,155,76332,79482,134,8,31943,21386,10557,9348.300375,6505.343234,2709.183021,133.77412
100,BIHAR,GOPALGANJ,365478,424343,127286,154793,2729902,2253825,1086464,37,241.3000579,189,60526,66836,158,2,15087,12417,2670,7299.280261,5438.48103,1807.574061,53.22517
101,BIHAR,PASHCHIM CHAMPARAN,763442,1065237,322143,474038,6193500,3323506,1690753,29,245.0607892,120,113656,133963,161,2,41231,30665,10566,13260.65544,8144.610033,5064.520415,51.52499
102,BIHAR,PURBI CHAMPARAN,1022040,1242305,475538,599774,8019100,6695881,3667677,32,244.8561381,188,203283,222000,188,11,34415,28742,5673,23903.453,16395.27563,7424.033243,84.14413
103,BIHAR,SITAMARHI,639242,793773,299517,376700,5246700,4259245,2272956,33,242.1143843,151,128462,145833,212,7,39062,30937,8125,14911.07314,10312.24481,4451.551177,147.27715
104,BIHAR,MUZAFFARPUR,751879,996619,315917,423852,5344000,5111258,2730371,34,242.320795,563,149638,176350,251,9,31650,20299,11351,15270.09831,12385.64102,2729.987601,154.46969
105,BIHAR,VAISHALI,388611,407287,222965,235839,4688200,2603929,1475829,32,242.8149113,25,80639,82992,59,5,45838,31017,14821,9320.172898,6322.727893,2917.346905,80.0981
106,BIHAR,BEGUSARAI,448390,574241,184675,238855,2832700,1807523,1004593,31,234.8584928,152,56489,63033,62,34,40255,29290,10965,7955.966567,4245.121275,3628.309183,82.53611
107,BIHAR,SAMASTIPUR,837414,1029634,406990,489834,8244289,5056515,2943128,34,239.1570796,153,148049,160049,179,6,63122,46084,17038,20987.6374,12093.01361,8757.744267,136.87953
108,BIHAR,DARBHANGA,797331,1055775,354379,444592,5538500,4570363,2680870,31,239.8231564,210,146362,158578,2225,11,39777,33765,6012,16522.83619,10960.78881,5412.467015,149.58037
109,BIHAR,MADHUBANI,885533,1193776,316885,425202,5141500,2996352,1825067,29,233.6147798,121,101117,112235,142,4,46718,31943,14775,11462.70209,6999.921127,4382.333635,80.44733
110,BIHAR,SAHARSA,513400,657267,284756,376207,6633940,6324908,3456305,36,239.5299913,129,173849,199349,180,3,24924,14895,10029,16807.81435,15150.05158,1584.899833,72.86294
111,BIHAR,MADHEPURA,560672,796583,197232,294439,3429541,2148399,1242143,32,237.9613729,215,66430,78942,61,5,24878,17996,6882,8637.314121,5112.359756,3442.624985,82.32938
112,BIHAR,PURNIA,564890,742895,279256,375626,4398600,3401085,2017001,32,238.2776952,213,103708,119653,49,3,33761,24139,9622,12629.80605,8104.02695,4438.005235,87.77387
113,BIHAR,KATIHAR,460656,571238,308775,389956,6320701,4226187,2520585,30,251.4846057,207,139669,159248,147,5,27998,17484,10514,16165.51177,10628.20971,5462.38826,74.9138
114,BIHAR,KHAGARIA,314143,403368,116580,142723,1499101,893287,526329,28,248.637834,21,31114,32332,12,1,18092,14477,3615,3737.859923,2221.049448,1481.589295,35.22118
115,BIHAR,MUNGER,180551,217056,120598,146848,2965100,2224211,1130059,39,235.5868844,139,56843,62250,257,2,16196,11609,4587,10632.14771,5239.949398,5352.562364,39.63595
116,BIHAR,BHAGALPUR,370607,459884,189901,234916,3962620,2427403,1198842,34,245.2736337,96,70643,79997,78,3,26842,21314,5528,9203.651845,5953.779542,3162.329173,87.54313
117,BIHAR,ARARIA,545348,709968,299645,407000,5628200,2869205,1688008,28,249.5263931,282,99151,120764,128,2,39551,23469,16082,12642.49598,7159.423746,5389.84886,93.22337
118,BIHAR,KISHANGANJ,351186,429781,175789,219674,3585500,3312958,2144373,36,244.238109,119,90499,98608,124,0,15454,9846,5608,10001.67332,8091.50597,1861.207013,48.96034
119,BIHAR,SHEOHAR,133521,190148,73557,109313,1464500,1266783,653463,37,238.9184383,244,33848,43357,19,0,13463,10073,3390,5856.39297,3026.57816,2806.39595,23.41886
120,BIHAR,SUPAUL,332323,474821,176746,260800,3193500,2012702,1171768,31,240.448502,164,63908,79512,87,3,26348,17493,8855,7435.981549,4839.511809,2510.208319,86.26142
121,BIHAR,BANKA,418785,586180,202350,289287,2831700,1855506,1005033,31,230.6718358,43,59096,68081,93,0,15298,12260,3038,6160.735354,4280.129753,1814.254801,66.3508
122,BIHAR,LAKHISARAI,178269,212176,110308,133576,2281502,1367405,713781,29,241.0650246,27,47024,51002,20,1,14680,9561,5119,6147.452413,3296.3352,2832.106353,19.01086
123,BIHAR,Sheikhpura,131264,164179,61747,75328,1629500,1183048,620769,39,233.6744914,77,29703,31583,254,4,7520,4222,3298,3729.560543,2764.481397,930.7899769,34.28917
124,BIHAR,BUXAR,235270,259294,120852,136325,2834700,2336721,1066115,38,229.6651972,219,61217,65083,35,3,16060,11824,4236,7847.555885,5366.634892,2418.430693,62.4903
125,BIHAR,KAIMUR (BHABUA),269861,361997,146638,205647,3297622,2286550,1065123,33,239.6297199,184,67935,79259,163,0,26459,12496,13963,7820.342981,5479.25336,2288.034551,53.05507
126,BIHAR,JAMUI,369851,485735,220631,299368,4169400,3285617,1761286,30,242.5424148,110,107574,126159,154,0,22417,15942,6475,10951.72829,7969.014813,2922.68806,60.02542
127,BIHAR,ARWAL,138569,164034,91545,108991,2144400,1179750,574619,30,237.8912607,18,38264,41310,79,0,9776,5586,4190,4641.930985,2806.522148,1786.331537,49.0773
128,CHHATTISGARH,BILASPUR,188675,375015,141233,286222,4196736,2685022,1442088,35,191.7800807,1168,76243,126999,908,8,11994,5768,6226,6810.262831,5149.337358,1388.739493,272.18598
129,CHHATTISGARH,KAWARDHA,186108,428736,171340,397990,7594537,4916080,2457750,38,165.9430387,2051,126167,259094,2684,0,12529,9545,2984,11260.07337,8157.892535,2828.159671,274.02116
130,CHHATTISGARH,DURG,125320,253494,102802,217603,3548634,2337683,1683833,29,222.601394,223,78605,108009,904,1,9121,5532,3589,7079.236457,5203.714946,1638.297891,237.22362
131,CHHATTISGARH,RAJNANDAGON,133014,265534,127824,258293,5399455,3453921,2606807,32,259.2901792,102,106824,141955,1858,0,20731,12353,8378,10316.4093,8955.677951,1135.644409,225.08694
132,CHHATTISGARH,SURGUJA,122721,225602,98485,189878,1643949,1057663,468081,28,244.0331425,386,37524,56778,94,4,11008,8061,2947,4057.328672,2581.048256,1277.677856,198.60256
133,CHHATTISGARH,KOREA,40355,69418,36376,63848,1266730,813113,378115,34,236.4245111,447,23402,35367,92,0,5184,3173,2011,2730.090261,1922.398435,713.7010262,93.9908
134,CHHATTISGARH,JASHPUR,157850,357614,123132,288624,3404776,2209724,1021178,37,243.8374684,1222,59693,97593,438,0,18687,11256,7431,8992.354065,5388.135059,3352.455375,251.76363
135,CHHATTISGARH,KORBA,124740,260317,97363,208344,2996956,1983977,1048328,37,235.4673952,2381,53103,92802,474,3,18946,12753,6193,7699.896451,4671.618963,2840.544688,187.7328
136,CHHATTISGARH,DHAMTARI,163144,402354,148131,374374,3851737,2484892,1394035,23,241.00895,547,107166,179371,708,0,11248,7573,3675,7863.754279,5988.812117,1603.687302,271.25486
137,CHHATTISGARH,KANKER,136418,313501,114584,273277,4358200,2793793,1526802,38,232.1565265,1135,72982,116216,551,4,15687,10709,4978,8388.218157,6485.972786,1695.59539,206.64998
138,CHHATTISGARH,BASTAR,118924,240925,71528,158537,1217304,875832,425194,34,249.1437365,839,25147,37008,67,0,12540,8621,3919,3971.924781,2182.08057,1630.033921,159.81029
139,CHHATTISGARH,DANTEWADA,38444,82625,31705,70135,758252,482891,236052,30,258.5317506,289,15749,26032,445,0,4649,3202,1447,1661.188656,1248.426556,329.0091398,83.75296
140,CHHATTISGARH,RAIGARH,136328,249215,103886,201770,2616842,1706480,865677,34,219.9984481,607,49650,81651,874,3,18131,10006,8125,6045.269349,3754.229516,2043.079562,247.96027
141,CHHATTISGARH,JANJGIR-CHAMPA,141808,313528,104764,247555,2346265,1550377,826261,32,209.0323871,230,48277,87873,361,0,8506,7136,1370,5119.086876,3240.790052,1690.915314,187.38151
142,CHHATTISGARH,MAHASAMUND,188469,410568,151445,340634,3726011,2408499,1243989,33,196.4677864,695,72050,133726,227,0,10987,6108,4879,6387.619428,4731.924671,1435.945106,219.74965
143,CHHATTISGARH,RAIPUR,156126,334640,125947,284833,4400935,2850935,1847913,33,248.1682296,1009,86130,142166,1455,20,12890,11343,1547,10113.2359,7075.114917,2878.00159,160.11939
144,CHHATTISGARH,BIJAPUR,44289,102897,41583,97237,874679,562035,275269,28,241.7404786,217,19559,36030,75,14,4129,3258,871,2372.726932,1358.666099,935.3971032,78.66373
145,CHHATTISGARH,NARAYANPUR,23602,58331,18721,48369,496302,325082,182291,39,246.3257042,316,8201,14894,130,20,2708,2039,669,1449.928069,800.7605258,604.8320136,44.33553
146,CHHATTISGARH,BALODA BAZAR,198001,494986,164705,440427,4604209,2972836,1593736,28,182.1754278,553,103910,216449,1158,1,10359,8386,1973,7702.175265,5415.776701,2041.622884,244.77568
147,CHHATTISGARH,GARIYABAND,144165,329300,133666,312676,4236686,2792810,1448048,31,194.5321634,639,89506,170837,510,0,16118,10011,6107,8462.683103,5432.913713,2823.61994,206.14945
